"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"3068375",-122.299359159,37.851237016,2007,"0103","1","3","4","08",0,1,"A",,,,,,2100,1,"D","C","A","RT 80","ASHBY AV",40,"E","N","2007-06-08",9370,"2007-01-24",2045,"14464",,"2","6","0","1",,"2","081","-","Y","ALA",4,80,"-","-",4.68,"H","-","E","Y",2,"A","-",22107,,"N","A","H","-","C","D","6","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3068458",-122.297043153,37.839765002,2007,"0103","1","6","4","08",0,1,"A",,,,,,2100,1,"E","I","A","RT 80","POWELL ST",528,"E","N","2007-06-13",9370,"2007-01-20",2008,"01798",,"2","6","0","1",,"2","080","-","Y","ALA",4,80,"-","-",3.94,"H","-","W","Y",1,"A","-",22107,,"N","A","H","-","C","D","6","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3084016",-122.30035077,37.853987878,2007,"0103","1","6","3","01",0,1,"A",,,,,"Y",300,2,"E","I","A","RT 80","ASHBY AV",1584,"E","N","2007-06-27",9370,"2007-02-17",228,"01747",,"3","6","0","1",,"2","081","-","Y","ALA",4,80,"-","-",4.88,"H","-","W","Y",1,"A","-",23152,"A","N","A","H","-","C","D","6","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3084150",-122.299253239,37.849698107,2007,"0103","1","4","4","03",0,1,"A",,,,,,2100,2,"C","C","A","RT 80","EAST ASHBY AV",284,"E","N","2007-06-27",9370,"2007-02-01",1830,"01396",,"2","6","0","1",,"2","081","-","Y","ALA",4,80,"-","-",4.63,"H","-","W","Y",3,"A","-",22350,,"N","A","H","-","D","D","6","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3084452",-122.299999777,37.852716356,2007,"0103","1","2","4","03",0,4,"A",,,,,,1800,1,"C","C","A","RT 80","ASHBY AV",1056,"E","N","2007-06-08",9370,"2007-01-09",1730,"01353",,"2","6","0","1",,"2","081","-","Y","ALA",4,80,"-","-",4.78,"H","-","W","Y",4,"A","-",22350,,"F","A","H","-","A","D","6","Y","A","01",0,0,4,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103203",-122.268713153,37.8748245239,2007,"0103","0","3","4","09",0,1,"A",,,,,,1500,3,"D","C","A","SHATTUCK AV","DELAWARE ST",0,,"Y","2007-07-31",103,"2007-03-21",1308,"90","24","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,"A","N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103205",-122.302154683,37.865737915,2007,"0103","0","7","2","00",0,2,"A",,"Y",,,,1500,3,"A","-","A","BOLIVAR DR","ADDISON ST",10,"N","N","2007-07-31",103,"2007-03-11",1327,"79","20","5","6","0","0",,"0","016","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"N","A","H","-","A","D","0","Y","-","-",1,0,1,0,0,0,2,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103207",-122.269641743,37.8683013916,2007,"0103","0","3","4","03",0,1,"A",,,,,,1500,3,"H","A","A","KITTREDGE ST","HAROLD WY",15,"E","N","2007-10-13",103,"2007-03-21",1340,"47","29","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",1,"A","-",22350,,"N","A","H","-","A","D","0","Y","-",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103208",-122.277435861,37.85348386,2007,"0103","0","1","3","09",0,1,"C",,"Y",,,,1800,3,"D","G","A","ASHBY AV","CALIFORNIA ST",0,,"Y","2007-08-09",103,"2007-03-26",1724,"127","34","5","6","0","0",,"0","011","-","Y","ALA",4,13,"-","-",12.65,"H","-","S","N",2,"A","-",21802,"A","N","B","H","-","A","D","0","Y","L",,0,1,0,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103212",-122.265303151,37.8642463684,2007,"0103","0","1","4","04",0,1,"C",,,,,,1800,3,"C","C","A","DWIGHT WY","FULTON ST",0,,"Y","2007-07-31",103,"2007-03-26",1549,"159","29","5","6","0","0",,"0","005","-","N",,0,0,,,0,,,,"N",2,"A","-",21703,,"N","B","H","-","A","A","0","Y","D",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103213",-122.291978406,37.868140757,2007,"0103","0","1","3","08",0,1,"A",,,,,,900,3,"A","I","A","RT 123","ADDISON ST",0,,"Y","2007-08-06",103,"2007-03-12",856,"61","32","5","6","0","0",,"0","016","-","Y","ALA",4,123,"-","-",3.08,"I","6","S","Y",1,"A","-",22107,,"N","A","H","-","A","A","0","Y","A",,0,1,0,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103217",-122.289538779,37.860564378,2007,"0103","0","1","4","01",0,1,"A",,,,,,1200,3,"B","E","A","RT 123","DWIGHT WY",54,"S","N","2007-08-14",103,"2007-03-12",1104,"92","33","5","6","0","0",,"0","014","-","Y","ALA",4,123,"-","-",2.54,"H","-","S","Y",2,"A","-",23152,"A","N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103221",-122.281983154,37.8694343567,2007,"0103","0","1","3","09",0,1,"A",,"Y",,,,1500,3,"D","G","A","SACRAMENTO ST","ADDISON ST",0,,"Y","2007-07-30",103,"2007-03-12",1427,"131","C31","5","6","0","0",,"0","B14","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,,"N","-","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103225",-122.305663157,37.8664131165,2007,"0103","0","6","4","09",0,1,"A",,,,,,1500,3,"D","C","A","UNIVERSITY AV","WEST FRONTAGE RD",0,,"Y","2007-07-30",103,"2007-03-17",1313,"14","0103","5","6","0","0",,"0","016","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"B","N","A","H","-","A","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103226",-122.26695315,37.8585166931,2007,"0103","0","5","3","09",0,1,"A",,,"Y",,,1500,3,"H","-","A","SHATTUCK AV","STUART ST",0,,"Y","2007-07-30",103,"2007-03-16",1405,"6","35","5","6","0","0",,"0","010","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","A","A","0","Y","A","07",0,1,0,0,0,0,0,0,1,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103227",-122.281983154,37.8694343567,2007,"0103","0","4","4","09",0,1,"A",,,"Y",,,1200,3,"D","C","A","SACRAMENTO ST","ADDISON ST",0,,"Y","2007-07-31",103,"2007-03-22",935,"131","C31","5","6","0","0",,"0","B14","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,1,"-","-","BERKELEY","ALAMEDA","CA",0,0
"3103235",-122.279518672,37.8549118042,2007,"0103","0","4","4","01",0,1,"A",,,,,"Y",1200,3,"C","C","A","SACRAMENTO ST","RUSSELL ST",10,"N","N","2007-07-31",103,"2007-03-22",1006,"131","C33","5","6","0","0",,"0","B14","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","F","A","H","-","A","D","0","Y","M",,0,0,1,0,0,0,0,0,0,"-","-","BERKELEY","ALAMEDA","CA",0,0
