HRR,HRR_BDY_I,State,pc_psa,incidence,prostatectomy,radiation,hormone,no_treat
Longview,266,TX,49.1,1.8,,,,
Lubbock,267,TX,23.7,3.7,234.7,217.0,283.1,391.2
McAllen,268,TX,53.5,2.5,,,504.1,
Odessa,269,TX,36.9,2.6,,,,
San Angelo,270,TX,48.4,5.4,437.1,,,482.4
San Antonio,271,TX,39.6,5.3,232.1,297.8,322.0,340.5
Temple,272,TX,20.4,12.9,418.6,302.3,339.8,342.5
Tyler,273,TX,38.1,4.5,190.0,286.8,329.6,342.7
Victoria,274,TX,42.8,10.9,241.9,465.9,195.9,303.4
Waco,275,TX,35.7,5.9,225.5,,,576.8
Wichita Falls,276,TX,34.0,4.0,299.2,,,
Ogden,277,UT,27.8,13.0,214.2,430.5,277.6,217.8
Provo,278,UT,29.7,3.8,,,,
Salt Lake City,279,UT,22.6,6.7,273.4,222.3,308.6,402.1
Burlington,280,VT,6.8,6.2,158.6,163.3,248.8,565.6
Arlington,281,VA,46.4,8.4,123.3,257.5,269.5,448.1
Charlottesville,282,VA,27.1,7.3,109.8,210.3,347.6,418.3
Lynchburg,283,VA,35.9,3.9,,,,
Newport News,284,VA,50.9,7.7,206.8,309.5,163.5,508.2
Norfolk,285,VA,38.4,8.1,171.0,307.4,401.1,268.4
Richmond,286,VA,42.0,9.0,178.2,213.8,323.1,422.3
Roanoke,287,VA,46.0,5.1,105.1,314.2,392.3,271.9
Winchester,288,VA,29.5,4.7,,,491.8,342.1
Everett,289,WA,27.9,4.7,243.4,,387.8,411.0
Olympia,290,WA,29.8,5.2,237.2,,,429.4
Seattle,291,WA,25.4,8.5,173.6,278.7,306.9,360.3
Spokane,292,WA,39.8,9.4,209.2,300.2,347.7,275.7
Tacoma,293,WA,19.8,8.4,227.5,352.7,302.6,269.1
Yakima,294,WA,37.9,5.1,,,392.1,306.1
Charleston,295,WV,32.3,7.2,218.2,328.7,316.5,244.4
Huntington,296,WV,19.9,11.6,203.2,293.7,520.7,176.1
Morgantown,297,WV,20.6,5.8,191.8,195.3,484.3,303.9
Appleton,298,WI,36.1,6.1,,,417.2,
Green Bay,299,WI,33.2,5.7,226.1,,487.3,333.9
La Crosse,300,WI,19.6,7.0,268.0,295.7,428.1,277.0
Madison,301,WI,23.4,12.8,264.6,285.0,368.1,288.2
Marshfield,302,WI,34.3,2.4,,,,
Milwaukee,303,WI,37.3,10.4,255.8,310.6,424.8,242.3
Neenah,304,WI,31.8,4.9,,,,
Wausau,305,WI,27.2,2.5,,,,
Casper,306,WY,10.1,6.0,428.8,402.2,,
United States,307,US,34.5,7.4,189.3,258.4,358.3,339.1
