"sch_code","county","pub_priv","district","school","enrollment","complete","start_year"
115204,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","COMMUNITY UNITED ELEMENTARY",72,71,2015
114454,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CONSERVATORY OF VOCAL INSTRUMENTAL ARTS",21,21,2015
6001754,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","CROCKER HIGHLANDS ELEMENTARY",76,72,2015
100123,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","EAST OAKLAND LEADERSHIP ACADEMY",15,13,2015
115600,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","EAST OAKLAND PRIDE ELEMENTARY",71,71,2015
6001812,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","EMERSON ELEMENTARY",80,78,2015
102988,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ENCOMPASS ACADEMY ELEMENTARY",61,61,2015
6002190,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","ESPERANZA ELEMENTARY",65,63,2015
6001820,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","FRANKLIN ELEMENTARY",138,132,2015
112813,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","FRED T. KOREMATSU DISCOVERY ACADEMY",76,76,2015
6001838,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","FRUITVALE ELEMENTARY",72,69,2015
115576,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","FUTURES ELEMENTARY",50,50,2015
6001846,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","GARFIELD ELEMENTARY",144,143,2015
6001853,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","GLENVIEW ELEMENTARY",91,89,2015
115584,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","GLOBAL FAMILY",94,92,2015
6001879,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","GRASS VALLEY ELEMENTARY",65,64,2015
115618,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","GREENLEAF ELEMENTARY",94,93,2015
6001911,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","HILLCREST ELEMENTARY",51,50,2015
6057046,"ALAMEDA","PUBLIC","OAKLAND UNIFIED","HOOVER ELEMENTARY",53,51,2015
