district,sch_code,county,pub_priv,school,enrollment,complete,start_year
HAYWARD UNIFIED,6062160,ALAMEDA,PUBLIC,STROBRIDGE ELEMENTARY,72,70,2015
HAYWARD UNIFIED,6001192,ALAMEDA,PUBLIC,TREEVIEW ELEMENTARY,69,67,2015
HAYWARD UNIFIED,6104566,ALAMEDA,PUBLIC,TYRRELL ELEMENTARY,88,88,2015
LIVERMORE VALLEY JOINT UNIFIED,6117543,ALAMEDA,PUBLIC,ALTAMONT CREEK ELEMENTARY,118,115,2015
LIVERMORE VALLEY JOINT UNIFIED,6071906,ALAMEDA,PUBLIC,ARROYO SECO ELEMENTARY,124,123,2015
LIVERMORE VALLEY JOINT UNIFIED,6001259,ALAMEDA,PUBLIC,EMMA C. SMITH ELEMENTARY,121,118,2015
LIVERMORE VALLEY JOINT UNIFIED,6001283,ALAMEDA,PUBLIC,JACKSON AVENUE ELEMENTARY,88,86,2015
LIVERMORE VALLEY JOINT UNIFIED,6001291,ALAMEDA,PUBLIC,JOE MICHELL,95,94,2015
LIVERMORE VALLEY JOINT UNIFIED,6001234,ALAMEDA,PUBLIC,JUNCTION K-8,75,75,2015
LIVERMORE VALLEY JOINT UNIFIED,6110332,ALAMEDA,PUBLIC,LEO R. CROCE ELEMENTARY,119,114,2015
LIVERMORE VALLEY JOINT UNIFIED,0107839,ALAMEDA,PUBLIC,LIVERMORE VALLEY CHARTER,144,129,2015
LIVERMORE VALLEY JOINT UNIFIED,6001317,ALAMEDA,PUBLIC,MARYLIN AVENUE ELEMENTARY,109,106,2015
LIVERMORE VALLEY JOINT UNIFIED,6089338,ALAMEDA,PUBLIC,RANCHO LAS POSITAS ELEMENTARY,121,118,2015
LIVERMORE VALLEY JOINT UNIFIED,6097661,ALAMEDA,PUBLIC,SUNSET ELEMENTARY,115,109,2015
NEW HAVEN UNIFIED,6001572,ALAMEDA,PUBLIC,ALVARADO ELEMENTARY,134,133,2015
NEW HAVEN UNIFIED,6118525,ALAMEDA,PUBLIC,DELAINE EASTIN ELEMENTARY,152,151,2015
NEW HAVEN UNIFIED,6115554,ALAMEDA,PUBLIC,GUY JR. EMANUELE ELEMENTARY,108,107,2015
NEW HAVEN UNIFIED,6001606,ALAMEDA,PUBLIC,HILLVIEW CREST ELEMENTARY,120,120,2015
NEW HAVEN UNIFIED,6101604,ALAMEDA,PUBLIC,PIONEER ELEMENTARY,162,162,2015
NEW HAVEN UNIFIED,6001622,ALAMEDA,PUBLIC,SEARLES ELEMENTARY,151,151,2015
NEW HAVEN UNIFIED,6115505,ALAMEDA,PUBLIC,TOM KITAYAMA ELEMENTARY,151,150,2015
NEWARK UNIFIED,6001440,ALAMEDA,PUBLIC,AUGUST SCHILLING ELEMENTARY,57,56,2015
NEWARK UNIFIED,0130484,ALAMEDA,PUBLIC,CROSSROADS HIGH -ALTERNATIVE-,,,2015
